street_name,city,state,latitude,longitude,price,bedroom_number,bathroom_number,square_meter,population
Northview Dr UNIT F3,Anchorage,AK,61.206406,-149.72696,147900,2,1,94,"248,902"
Whispering Loop #B,Anchorage,AK,61.22071,-149.75987,299000,3,3,141,"248,902"
Whispering Loop #A,Anchorage,AK,61.22072,-149.76021,410000,3,3,152,"248,902"
E Northern Lights Blvd APT 8B,Anchorage,AK,61.195133,-149.76,218500,2,2,104,"248,902"
Matthew Paul Way #44,Anchorage,AK,61.222927,-149.76213,215000,3,2,119,"248,902"
Gold Kings Cir UNIT D,Anchorage,AK,61.22389,-149.75307,189500,3,2,101,"248,902"
Normanshire Ct #108,Anchorage,AK,61.199543,-149.7313,265000,3,2,141,"248,902"
Pinnacle Cir,Anchorage,AK,61.18256,-149.73126,269500,3,2,123,"248,902"
Moonrise Ridge Pl #13,Anchorage,AK,61.1171,-149.8542,525000,3,4,202,"248,902"
Boundary Ave APT N4,Anchorage,AK,61.22401,-149.71852,89990,2,1,76,"248,902"
Ambler Ln APT 19,Anchorage,AK,61.181454,-149.74799,191000,2,2,69,"248,902"
W Northridge Ct APT 12,Spokane,WA,47.717968,-117.43981,258000,2,1,79,"426,849"
Skwentna Dr #128,Anchorage,AK,61.22136,-149.76668,345000,3,3,137,"248,902"
Gemini Dr #A-1,Anchorage,AK,61.183563,-149.7502,260000,3,2,143,"248,902"
E 12th Ave #A2,Anchorage,AK,61.210934,-149.76497,135000,3,2,107,"248,902"
N Country Homes Blvd APT 15,Spokane,WA,47.739334,-117.415085,250000,2,2,95,"426,849"
Brookshire Loop #150,Anchorage,AK,61.19997,-149.7312,260000,3,2,126,"248,902"
E 5th Ave #A,Anchorage,AK,61.21794,-149.7328,265000,3,3,164,"248,902"
Augusta Cir,Anchorage,AK,61.18762,-149.72044,249000,3,2,97,"248,902"
Gold Kings Ave UNIT D,Anchorage,AK,61.22389,-149.75232,199000,3,2,116,"248,902"
Early View Dr #17,Anchorage,AK,61.206745,-149.71881,222000,3,2,93,"248,902"
Defiance St,Anchorage,AK,61.18158,-149.77063,280000,2,2,136,"248,902"
Grand Larry St,Anchorage,AK,61.22313,-149.72946,232000,3,2,119,"248,902"
Pioneer Dr APT 901,Anchorage,AK,61.18444,-149.73212,225000,3,3,128,"248,902"
Grand Larry St APT D7,Anchorage,AK,61.22309,-149.7299,78000,2,1,72,"248,902"
Gold Kings Ave UNIT B,Anchorage,AK,61.22389,-149.75082,210000,3,2,103,"248,902"
Krane Dr UNIT 14,Anchorage,AK,61.219616,-149.75653,105000,2,1,76,"248,902"
Boundary Ave,Anchorage,AK,61.22404,-149.73964,195000,3,2,124,"248,902"
Matthew Paul Way #42,Anchorage,AK,61.222855,-149.76233,212000,2,2,109,"248,902"
E 12th Ave,Anchorage,AK,61.211082,-149.77005,232000,3,2,145,"248,902"
Creekside St,Anchorage,AK,61.220966,-149.7407,380000,3,4,260,"248,902"
Boundary Ave #A-4,Anchorage,AK,61.22404,-149.73817,145000,2,2,88,"248,902"
Debarr Rd UNIT 203,Anchorage,AK,61.209858,-149.77034,170000,2,2,100,"248,902"
Neighbor Dr #370,Anchorage,AK,61.21925,-149.74577,199000,2,2,80,"248,902"
Astonshire Ct #74,Anchorage,AK,61.199104,-149.73167,249500,3,2,141,"248,902"
Peck Ave UNIT M95,Anchorage,AK,61.222507,-149.72975,162000,2,2,103,"248,902"
Boundary Ave #E-2,Anchorage,AK,61.22404,-149.7378,148250,2,2,87,"248,902"
Baxter Rd APT 2B,Anchorage,AK,61.19499,-149.76312,210000,2,2,88,"248,902"
Shallow Pool Dr #K1,Anchorage,AK,61.207874,-149.73737,269900,2,2,112,"248,902"
Peck Ave UNIT K73,Anchorage,AK,61.222507,-149.72975,170000,2,2,103,"248,902"
Turf Ct #5,Anchorage,AK,61.208218,-149.7204,175000,2,1,86,"248,902"
Boundary Ave,Anchorage,AK,61.22404,-149.73955,235000,3,2,112,"248,902"
Matthew Paul Way #50,Anchorage,AK,61.222813,-149.7621,215000,3,2,119,"248,902"
Shageluk St,Anchorage,AK,61.22173,-149.76727,437000,4,3,158,"248,902"
Shageluk St,Anchorage,AK,61.221622,-149.7672,431500,4,3,169,"248,902"
Shageluk St,Anchorage,AK,61.221912,-149.7674,437000,4,3,158,"248,902"
Shageluk St,Anchorage,AK,61.22157,-149.76715,431500,4,3,169,"248,902"
Shageluk St,Anchorage,AK,61.221478,-149.76709,410000,3,3,136,"248,902"
Shageluk St,Anchorage,AK,61.221947,-149.76741,437000,4,3,158,"248,902"
Shageluk St,Anchorage,AK,61.221424,-149.76707,410000,3,3,136,"248,902"
Burl Ct #113,Anchorage,AK,61.18769,-149.76236,215000,3,2,162,"248,902"
