Code,NumberOfHouseholds,HouseholdMedianIncome,HouseholdMeanIncome,NumberOfFamilies,FamilyMedianIncome,FamilyMeanIncome,NonFamilyHousehold,NonFamilyHouseholdMediumIncome,NonFamilyHouseholdMeanIncome
53104,2117,87617,104683,1582,96892,115041,535,47250,73274
53103,1531,92563,119914,978,118750,151499,553,45855,63611
53098,4535,59571,75994,3127,76034,89705,1408,32222,39282
53097,1975,150694,198612,1716,158409,213285,259,56023,96898
53095,11994,69604,90998,7527,93206,113747,4467,36686,51039
53094,7512,57500,70507,4942,70648,80250,2570,38772,47996
53093,750,85556,89857,575,87377,98938,175,46250,57417
53092,8448,108602,159972,5901,134495,188355,2547,45982,81551
53091,839,65685,71502,548,82727,82636,291,37569,49299
53090,8901,76635,84891,6047,89888,99373,2854,37277,48395
53089,7346,94383,111919,5269,116250,131301,2077,43456,59853
53088,181,68125,65535,92,96000,83946,89,52583,45527
53086,3444,83262,100035,2435,92375,114799,1009,44075,63886
53085,5213,59796,75412,3348,74444,93200,1865,36849,41932
53083,8446,71242,86451,5950,80417,98446,2496,43348,53608
53081,17852,51611,62899,9463,65735,79251,8389,33558,42762
53080,2320,63426,80435,1494,70946,96713,826,34077,46286
53079,576,78056,91189,436,87000,103700,140,39250,48303
53078,693,82829,90740,456,90882,103152,237,64688,64075
53076,1298,101844,125487,1154,105926,132916,144,49412,55026
53075,1293,71494,83534,954,81250,92451,339,47891,52106
53074,5410,69360,83159,3452,83435,98857,1958,41413,50087
53073,6197,69741,81144,4159,83040,97193,2038,34470,45412
53072,11078,88188,132721,6863,123383,169824,4215,47775,70656
53070,1935,67319,85029,1412,79565,97162,523,43906,49780
53069,347,109577,103197,271,109496,109280,76,0,39114
53066,13604,101446,128036,9474,118678,143780,4130,52742,89207
53065,945,88250,94130,688,98214,104646,257,47404,63342
53063,627,69750,90539,401,94018,111769,226,48214,51180
53061,2176,66759,71532,1441,78980,87157,735,30845,40186
53059,735,75149,88980,567,82625,100016,168,37813,44617
53058,1423,89917,139389,974,121316,169886,449,56458,68706
53057,646,73750,90626,474,91875,102415,172,46042,55565
53051,15434,86572,116290,10315,111273,144128,5119,42554,55004
53050,2702,60773,69953,1717,73750,81307,985,42324,48192
53049,1065,76750,86617,755,95114,103163,310,50116,45612
53048,1345,62679,66655,850,73711,75707,495,37350,45650
53047,13,150750,351938,8,150500,144375,5,0,0
53046,507,67332,84397,299,79044,101840,208,52206,58060
53045,8669,104745,152039,6008,134958,191058,2661,44728,62421
53044,841,95250,151282,627,105694,171105,214,41875,92151
53042,2775,64691,78336,1788,84079,95198,987,42379,46304
53040,3329,80083,96564,2420,92619,102148,909,48869,76769
53039,1632,69571,79388,1107,81477,89794,525,46971,54417
