Code,NumberOfHouseholds,HouseholdMedianIncome,HouseholdMeanIncome,NumberOfFamilies,FamilyMedianIncome,FamilyMeanIncome,NonFamilyHousehold,NonFamilyHouseholdMediumIncome,NonFamilyHouseholdMeanIncome
64429,3601,59305,68538,2388,68106,81342,1213,32988,39572
64428,241,39875,52789,177,44861,59256,64,25000,31605
64427,233,54712,64037,152,67143,69275,81,32813,54209
64426,162,33194,49272,118,33676,51689,44,30000,37636
64424,1691,35019,48662,1021,55063,60764,670,19657,28682
64423,334,62083,74756,223,83859,96887,111,21027,29912
64422,190,75294,72259,171,76691,78868,19,10313,12779
64421,410,53500,58174,263,59107,69277,147,0,34962
64420,27,58750,61230,21,59028,58181,6,0,0
64402,979,44598,55450,612,54327,63117,367,28546,40128
64401,447,73438,84368,356,75313,88003,91,69375,67476
64192,0,0,0,0,0,0,0,0,0
64167,145,79632,117483,116,80833,134843,29,0,0
64166,135,46250,59742,135,46250,59742,0,0,0
64165,124,0,334627,110,0,362995,14,0,0
64164,54,160938,148381,41,0,193512,13,0,0
64163,331,40250,47579,190,45417,51926,141,32917,38389
64161,140,60000,58464,93,63472,63228,47,0,45196
64158,1988,91429,105181,1268,108575,129226,720,52049,61652
64157,6326,114339,142173,5524,120413,144885,802,67500,104367
64156,2707,115625,136779,1942,127849,156168,765,74134,85028
64155,8911,80533,90720,6067,92799,102706,2844,49909,59868
64154,5074,77222,101910,3198,98245,116683,1876,58861,73248
64153,2404,84747,92503,1548,86970,104595,856,52115,67122
64152,11345,95342,127650,8058,119456,152770,3287,45475,62217
64151,10685,77512,95280,6757,94443,110607,3928,51295,65394
64150,1617,36653,70639,812,59815,93959,805,31074,45863
64149,189,0,90894,109,136116,110068,80,0,64768
64147,129,8618,12630,113,7566,12784,16,0,0
64146,875,62868,78393,456,112905,109957,419,33869,41188
64145,1811,74214,110133,1276,80227,122115,535,38922,77639
64139,761,114917,127463,574,131750,138133,187,70271,81588
64138,10558,44867,61461,5651,66479,74424,4907,31780,42503
64137,4705,55180,65013,2700,65451,79077,2005,32393,43411
64136,758,0,68739,372,83333,100945,386,27143,33353
64134,8780,44969,55702,5254,47472,59995,3526,34845,44344
64133,15128,54421,65024,8588,70072,79234,6540,34954,44097
64132,5298,37936,44485,3226,41620,48747,2072,27525,32965
64131,10151,51241,67465,4998,66234,82196,5153,37207,48624
64130,8522,37679,54597,4157,45723,68796,4365,25028,35321
64129,3623,41530,57262,2023,51826,60485,1600,31471,50088
64128,5178,27045,40751,2532,37904,52587,2646,20020,26697
64127,6626,28021,38012,2880,39341,48568,3746,17584,28531
64126,2152,26575,34714,1303,35146,39064,849,13964,24308
64125,628,37258,52241,418,45069,60889,210,19125,29647
64124,4057,34402,42466,2505,40171,47221,1552,24167,31225
64123,3807,39513,48178,2126,52364,60042,1681,28052,31269
64120,145,39792,54764,81,67188,70252,64,33750,35163
64119,11578,70105,82969,7429,79048,93414,4149,47457,58955
64118,17207,58861,72722,10622,69619,83787,6585,41780,50879
64117,6094,52667,62311,3738,66522,71559,2356,40055,45453
64116,7838,47273,75402,3664,61939,92492,4174,37087,58082
64114,12864,66367,81454,5992,87500,105102,6872,49968,59579
64113,4702,146829,194853,3349,169589,228880,1353,66858,108546
64112,4875,79904,126910,1663,132933,214880,3212,60481,80207
64111,10279,53266,68517,2420,85484,102407,7859,46241,57418
64110,7411,46436,68770,3234,69357,91622,4177,32388,49091
64109,4980,33135,59264,1834,67695,97608,3146,22201,35482
64108,4594,57000,84174,1682,70417,95952,2912,51048,76942
64106,5180,37372,63057,1684,31605,55917,3496,49239,65806
64105,3530,59311,81044,623,133920,164394,2907,52287,63181
64102,0,0,0,0,0,0,0,0,0
64101,21,0,0,0,0,0,21,0,0
64098,1242,75139,82223,895,91458,96443,347,31420,38613
64097,450,59167,72766,312,67500,79866,138,38750,51611
64096,460,49500,65723,316,66094,73986,144,35000,47590
64093,10430,54054,66837,5650,72614,88155,4780,33852,39731
64092,18,0,0,18,0,0,0,0,0
64090,58,70278,61840,47,71806,65815,11,43281,40027
64089,4939,83014,94744,3953,90616,103807,986,38667,46307
64088,465,64485,78643,345,64191,86558,120,34643,44789
64086,9114,91429,107549,6584,107569,125575,2530,43766,56144
64085,3383,58279,67046,2213,73576,81468,1170,25216,35129
64084,580,42708,65665,400,58333,74400,180,21378,46254
64083,9046,84797,94532,6767,99027,105702,2279,40127,59966
64082,5866,123549,142784,4975,131634,153192,891,65184,73609
64081,9750,90625,113432,6601,110355,139398,3149,45119,53966
64080,4949,80242,93146,3670,93669,105940,1279,35951,49984
64079,5065,88261,99494,3624,107243,113922,1441,51989,59046
64078,3617,77027,87323,2794,85273,94285,823,41541,58295
64077,711,68750,70596,485,76250,75259,226,41250,58466
64076,3379,62184,78213,2543,79415,85740,836,34184,49516
64075,4449,74037,82552,3162,84358,95884,1287,27750,34801
64074,241,68750,98580,164,85272,108826,77,41080,73910
64072,209,47896,54441,145,48628,63004,64,19333,33033
64071,280,70192,78230,227,71979,77531,53,49236,63458
64070,1267,83984,95137,984,89779,105691,283,52750,54860
64068,13449,78884,93622,9564,89280,107912,3885,39554,51735
64067,2464,62465,77911,1407,79156,95423,1057,37017,49417
64066,7,85625,79886,6,86250,93133,1,0,0
64065,6,61250,59467,0,0,0,6,61250,59467
64064,7163,105923,132027,5395,127471,150179,1768,51757,72632
64063,8361,71119,84842,5837,83123,97393,2524,40441,52266
64062,2219,78263,107855,1817,79634,107742,402,45972,101286
64061,1230,62656,81455,922,71389,92202,308,42955,46328
64060,5903,89116,101239,4758,97091,112732,1145,43401,49633
64058,2478,66724,74319,1715,69865,79059,763,50550,57785
64057,5971,63625,76978,3402,81378,93532,2569,43320,51936
64056,5798,62126,71619,4467,65563,73921,1331,39693,57742
64055,14848,56942,75553,8968,70487,88120,5880,34402,48985
64054,1158,42167,51352,773,45375,52595,385,37796,39410
64053,2192,41500,57082,1227,50630,75107,965,25825,31463
64052,9136,45422,53914,5069,51171,58891,4067,38379,43098
64050,9339,39940,51249,4911,51461,63311,4428,25881,32838
64048,1492,83919,98249,1163,89602,105778,329,61450,69604
64040,2387,56250,66463,1744,66731,76542,643,32696,35300
64037,2286,60772,71451,1445,67868,79877,841,35809,54137
64036,113,19107,30747,91,0,30107,22,21875,32436
64035,393,51397,70551,304,63125,71241,89,30125,61699
64034,3287,102033,115328,2778,110861,123835,509,49688,62890
64030,10219,47454,63297,5682,57261,69579,4537,33182,51025
64029,6731,76649,83844,5028,85000,91651,1703,49047,53644
64024,5732,63659,71679,4034,75281,84587,1698,30241,37164
64022,47,58750,68902,38,76250,78729,9,31250,27411
64021,237,60938,84688,175,74583,99719,62,26667,39929
64020,1385,56141,77521,941,79844,95081,444,26483,30240
64019,819,60642,66166,677,60916,66810,142,53750,53949
64018,387,93417,108043,294,128333,130921,93,26750,35004
64017,126,63750,67851,92,90530,78118,34,34375,38224
64016,1849,77806,80264,1223,71416,78683,626,81023,79890
64015,11585,72025,89681,8177,87375,105830,3408,36178,48920
64014,9852,72294,91257,7522,81165,100393,2330,52618,54946
64012,10879,67071,81804,7716,75593,90320,3163,41067,51094
64011,1444,67128,85322,1163,69566,88405,281,49875,68858
64001,321,63036,70992,199,71806,78650,122,0,56645
63967,753,44321,49446,491,53188,56324,262,0,32021
63966,1093,50605,57961,711,64334,73624,382,24519,27544
63965,1057,37406,50811,647,55536,67535,410,15625,20464
63964,89,0,29540,67,0,24918,22,0,0
63962,48,0,0,48,0,0,0,0,0
63961,658,41442,54976,382,59844,70930,276,19886,31148
63960,1222,47898,54731,891,58403,63346,331,22629,29417
63957,2534,33726,46166,1513,41643,52924,1021,19415,33224
63956,418,44119,53850,319,44298,58730,99,0,38123
63955,58,30962,29134,29,38456,33355,29,27125,24910
63954,298,37794,56041,201,0,69514,97,19844,27510
63953,534,29423,42526,280,35625,50266,254,16500,31541
63952,135,31875,55387,105,32422,63055,30,13750,16550
63951,104,0,25338,46,38500,43146,58,11034,0
63945,334,45170,54564,305,45440,56269,29,0,26528
63944,766,37375,52345,507,46791,65983,259,0,24581
63943,177,38393,50116,140,38833,53906,37,0,23946
63942,229,32132,40453,180,34821,46379,49,15417,18684
63941,77,0,78548,45,0,120644,32,18594,19350
63940,615,47235,60444,360,63636,77384,255,25625,25452
63939,558,27262,44167,339,55089,57268,219,15884,22154
63937,1178,53438,67069,817,65607,79296,361,33033,31768
63936,261,41125,57206,186,43864,66329,75,30868,31311
63935,3645,39397,50582,2482,50926,61265,1163,16628,25242
63934,82,25000,0,40,0,0,42,0,0
63933,1296,36328,47326,810,45112,58834,486,20875,24443
63932,403,0,56803,267,60089,68545,136,25192,31434
63902,0,0,0,0,0,0,0,0,0
63901,13466,41697,55961,8507,50859,69212,4959,19643,30228
63882,147,37981,40293,68,0,44846,79,37981,34785
63880,60,19400,26752,37,0,30938,23,0,0
63879,293,41641,60543,211,59250,74374,82,22639,24104
63878,38,51500,53958,32,53333,60647,6,0,18283
63877,1433,34375,58255,1012,45403,66267,421,21858,31064
63876,864,36181,49383,645,37723,48741,219,20607,43179
63874,122,53500,58644,81,81042,75272,41,20625,24149
63873,1775,39414,57902,1257,43455,65977,518,20781,33398
63870,512,24886,44725,400,28333,48932,112,0,23536
63869,1576,40909,47081,880,55417,60092,696,21731,28520
63868,343,30391,36345,197,31250,37374,146,29615,29548
63867,404,37348,44776,274,36724,46338,130,32262,32403
63866,164,20938,30762,109,23393,38700,55,12188,15033
63863,2442,38029,63159,1553,50889,84406,889,22288,23659
63862,608,34931,47888,411,42404,55221,197,19583,23967
63860,88,37917,36626,56,48214,48546,32,0,15766
63857,5023,44587,60031,3230,55382,73122,1793,21321,32690
63855,397,39417,53121,262,54375,61172,135,21477,35497
63853,71,27031,53648,35,45417,88889,36,0,19386
63852,569,35688,53014,364,51111,66962,205,22829,27568
63851,1416,25238,42423,894,35833,52463,522,18264,23733
63849,70,0,65786,55,0,60176,15,0,86353
63848,406,38500,66952,294,45536,79367,112,15333,24287
63847,12,0,0,12,0,0,0,0,0
63846,531,47344,50900,392,53224,56119,139,24375,32905
63845,2469,33750,47887,1628,40305,55105,841,18640,32143
63841,5286,43894,55383,3394,57766,66399,1892,26255,33148
63839,169,44213,62034,111,44236,53445,58,31250,68779
63837,629,35054,45474,352,45116,56256,277,17946,29710
63834,1942,32969,47021,1341,39221,51574,601,17098,35126
63833,82,0,42989,40,73333,67195,42,18750,19936
63830,2764,36042,54517,1745,50014,71032,1019,14692,25251
63829,525,33098,57381,290,43816,61354,235,14598,51603
63828,67,37083,45964,38,51667,57645,29,26458,30659
63827,277,47563,60059,210,50455,67996,67,30521,34555
63826,21,0,114995,13,0,171631,8,0,0
63825,1558,41250,54156,1109,50839,58698,449,23633,39765
63824,35,54688,48574,16,54375,54750,19,0,43374
63823,493,51827,65430,407,59583,71286,86,40000,37715
63822,1001,38885,49468,662,49167,57382,339,26927,31080
63821,314,21500,36652,196,32188,44530,118,14125,21885
63820,87,28295,35455,62,46667,45197,25,9583,10736
63801,9446,45946,64998,5790,60103,80166,3656,28634,38524
63787,251,48693,57333,174,52500,61816,77,0,45805
63785,399,40250,55422,320,52188,62593,79,22917,23853
63784,78,66500,75174,44,49375,48993,34,88382,108288
63783,30,0,107557,13,81607,144931,17,0,0
63782,108,31667,45556,72,0,54803,36,0,25281
63781,385,64087,74522,305,79293,83242,80,36625,40755
63780,2386,50341,61730,1687,62905,68529,699,18047,40774
63775,6504,56790,67413,4365,72942,80902,2139,30094,38247
63774,38,52941,48697,32,53382,48653,6,0,0
63771,982,53580,61000,720,58810,65763,262,27378,40567
63770,48,46250,46794,45,38750,45540,3,63750,49467
63769,469,54375,61824,378,58500,65499,91,31467,45167
63767,281,33281,45816,182,36667,56174,99,14417,24299
63766,552,47188,57889,398,61538,69261,154,19848,28125
63764,1987,36023,52149,1188,59342,67943,799,20123,27570
63763,91,0,36242,73,0,41930,18,0,0
63760,218,70833,78005,185,82656,87048,33,19226,22094
63758,100,41818,46857,47,65865,73753,53,0,22172
63755,9479,65625,78644,6783,75162,90900,2696,35522,43071
63751,505,43169,45700,407,42762,47160,98,31613,35241
63750,9,0,0,5,0,0,4,0,0
63748,547,49237,59954,315,69479,73974,232,47824,39846
63747,194,80667,77868,186,81333,78796,8,0,0
63746,25,42083,49644,11,0,0,14,0,0
63745,4,0,0,0,0,0,4,0,0
63744,25,50938,53680,17,60938,62694,8,14167,14150
63743,22,100000,115905,22,100000,115905,0,0,0
63742,27,0,61881,27,0,61570,0,0,0
63740,2033,51278,70768,1527,61345,78991,506,24091,39030
63739,173,42125,45453,115,40875,48888,58,0,38641
63738,0,0,0,0,0,0,0,0,0
63736,1498,46944,55829,992,54667,64548,506,42833,36908
63735,336,23750,35154,223,33750,40751,113,12138,20199
63732,359,62083,67545,290,70375,72852,69,0,40296
63730,1524,48400,62029,914,61436,65779,610,30349,56050
63703,3702,28690,40710,1723,50498,57682,1979,19610,24946
63701,14614,53147,71851,8294,75274,91767,6320,32106,43728
63675,44,30833,27591,34,31875,30809,10,0,0
63674,0,0,0,0,0,0,0,0,0
63673,686,60909,89925,467,76397,87661,219,0,86677
63670,4578,60459,87777,3319,81040,100066,1259,34675,50346
63666,20,0,21705,9,0,0,11,0,0
63665,89,0,63298,64,0,81572,25,17679,16516
63664,3534,43780,60107,2273,59250,73191,1261,26636,35576
63663,333,35707,47336,224,56071,53785,109,28036,30244
63662,557,40282,55155,292,71757,63188,265,19362,26185
63660,1060,43939,52527,804,41923,53292,256,40778,45567
63656,107,49671,68072,96,48947,68054,11,0,0
63655,608,44338,53322,427,50827,60378,181,28594,36097
63654,302,27188,45933,183,58281,59399,119,21250,24376
63653,492,39625,47689,346,54464,56183,146,19286,24186
63650,1731,38132,48688,1184,45227,54680,547,24306,35341
63648,531,39904,53527,364,34615,56136,167,35938,39622
63645,4487,49032,64938,3095,64461,77924,1392,20541,34967
63640,10472,50663,65910,6989,68482,79075,3483,24976,35811
63638,1058,48066,54358,838,51944,60350,220,18512,23150
63637,517,48507,63273,321,48368,59515,196,0,64488
63636,228,37794,45354,145,54063,57026,83,23092,24510
63633,282,39318,53480,185,72813,65169,97,23459,25796
63631,400,65750,84985,318,68726,101437,82,19250,18509
63630,1366,38393,47270,1019,36717,49053,347,43536,40097
63629,482,48304,56779,331,56094,68140,151,19821,28132
63628,4937,44561,59617,3452,63877,70495,1485,21088,30357
63627,1420,74167,78816,972,85848,83938,448,41747,66418
63626,477,68125,71504,322,69886,77100,155,53295,45297
63625,158,54167,86148,125,60417,102286,33,18542,18942
63624,1511,37995,49538,968,48654,60527,543,22380,27896
63623,283,34890,50045,164,50000,64743,119,14313,29788
63622,599,41582,57681,343,65546,54587,256,24530,61085
63621,624,68403,72095,356,72955,81129,268,18750,48446
63620,469,37061,51075,358,38000,53136,111,28472,36378
63601,6469,42622,54030,4312,50111,57976,2157,26637,42027
63567,46,0,39650,45,0,40347,1,0,0
63566,42,60625,57983,31,59250,57413,11,0,24355
63565,1343,47670,61313,839,62348,74500,504,33125,37582
63563,170,0,118371,146,0,135608,24,13625,13513
63561,339,36250,49861,192,47250,55663,147,24922,41691
63560,63,0,33646,22,0,43127,41,0,28561
63559,605,51188,64208,407,74779,82129,198,15294,25514
63558,244,55000,59239,186,62744,67495,58,28333,32503
63557,103,60662,65771,68,65000,77138,35,40625,43689
63556,1264,49583,59978,786,54438,71060,478,30000,36724
63555,1186,46983,69077,784,58667,86241,402,20417,31439
63552,3061,43558,54372,1834,56475,67664,1227,26963,33468
63551,75,46250,60343,56,0,64984,19,31458,39205
63549,924,42841,53480,568,58000,64144,356,24737,33543
63548,359,42550,50958,232,54375,65236,127,20958,21941
63547,200,24911,37177,148,32500,44373,52,13036,16694
63546,580,51413,57731,399,54306,65668,181,28854,38388
63545,379,40268,52094,170,70909,72424,209,24375,34544
63544,321,43563,50860,251,52591,54086,70,31750,35569
63543,64,31719,38423,41,31625,42412,23,31875,31313
63541,176,50855,69162,113,52250,82110,63,50568,42630
63540,53,46875,69321,42,53000,80702,11,0,25864
63539,95,0,40971,44,61667,75766,51,25000,10951
63538,92,42000,59676,64,85417,78506,28,0,15089
63537,727,44141,53489,446,69565,69371,281,18698,28258
63536,367,52969,59201,258,54198,71233,109,20875,30271
63535,16,25000,0,7,0,0,9,0,0
63534,364,40682,50177,268,42045,54854,96,29583,36172
63533,282,55268,59975,210,57321,67454,72,27361,37878
63532,535,45234,57045,297,52375,67459,238,32083,43595
63531,129,61696,69456,92,75833,86662,37,0,26673
63530,367,57589,56396,283,63750,62758,84,24286,33519
63501,7536,41385,65753,3773,63380,96389,3763,20356,33881
63474,195,42279,89825,81,119821,167614,114,40147,34554
63473,86,66176,69234,65,70536,79762,21,44750,36648
63472,302,20000,40027,116,61346,65321,186,18304,22532
63471,293,63194,72345,231,69712,84367,62,0,27556
63469,470,55000,71797,330,79722,88073,140,28214,32481
63468,1020,42738,48907,627,58558,63930,393,15236,21050
63467,14,0,0,14,0,0,0,0,0
63465,137,42052,118655,102,0,146408,35,0,35960
63464,6,0,0,0,0,0,6,0,0
63463,250,67917,77434,208,67917,74777,42,0,83221
63462,700,35357,42434,463,45324,48699,237,31171,29105
63461,2188,57191,63743,1585,68317,69697,603,38867,39383
63460,119,45625,58386,71,80250,82163,48,20833,23215
63459,1566,56806,67997,1106,65156,77049,460,39250,43869
63458,48,29286,33117,22,0,40373,26,28571,26977
63457,104,58929,67857,78,66500,74286,26,55000,46758
63456,1930,52303,60673,1280,70814,74782,650,18162,29916
63454,330,57955,63783,281,72558,66919,49,29821,37000
63453,177,78859,93456,133,79063,105441,44,0,56634
63452,476,54167,60522,368,60370,68340,108,31667,32639
63451,88,75438,64227,40,53000,57733,48,76143,69640
63450,79,62042,77462,74,61833,77738,5,0,0
63448,605,50692,57998,357,57125,71612,248,31667,34392
63447,405,37760,53414,250,41250,62380,155,24886,31472
63446,179,38750,40592,114,47955,47184,65,0,27891
63445,1366,44069,61221,927,55712,74041,439,19609,30161
63443,146,32935,30334,51,33295,38700,95,32604,24914
63441,418,50714,61616,296,75000,72836,122,24375,31852
63440,480,35357,71112,301,55469,96012,179,21709,28868
63439,100,38417,36047,41,66146,58995,59,0,20100
63438,152,44700,52522,109,55865,57417,43,32788,29221
63437,649,32301,44792,406,37976,51574,243,23068,30769
63436,600,60833,81658,369,75871,82099,231,19219,79853
63435,1389,44427,64914,884,69189,85489,505,16875,24981
63434,241,51875,62963,189,63036,72133,52,21250,22638
63433,0,0,0,0,0,0,0,0,0
63432,233,50054,72289,146,61071,97379,87,30795,29646
63431,127,0,71613,115,0,71022,12,0,0
63430,213,32135,57264,157,0,64587,56,27000,36604
63401,8846,50896,63998,5676,63220,73600,3170,28404,42749
63390,3992,74764,91200,2939,86458,103889,1053,45083,52719
63389,2406,67773,75290,1591,77050,84126,815,47964,53203
63388,412,55750,68097,153,53875,66271,259,0,69176
63387,38,0,63503,21,56250,54290,17,0,48494
63386,193,47604,76383,135,70625,90819,58,38750,39383
63385,15609,93138,108526,12110,99756,118260,3499,54117,64625
63384,804,60741,77077,568,71250,92290,236,22500,35844
63383,6150,52743,69865,4529,61289,76922,1621,36162,43471
63382,1271,40733,53929,729,53385,64321,542,32500,37995
63381,177,45855,66371,137,45197,54389,40,0,106338
63379,9160,75106,82032,6858,80396,92345,2302,33976,43710
63377,1045,59750,75273,721,80919,93650,324,23182,34380
63376,28500,83420,98762,20097,99518,113381,8403,45775,58999
63373,219,76250,85880,173,102813,98002,46,39375,34896
63370,46,33603,32004,38,0,0,8,0,0
63369,673,79821,89634,423,113036,114018,250,40877,48236
63368,16396,106136,121317,12791,118366,134765,3605,53024,67034
63367,9461,107243,119686,7336,117459,132772,2125,49471,69721
63366,18783,81451,96959,13558,94613,111939,5225,41955,52822
63363,771,47904,55632,531,61367,61731,240,34167,36853
63362,2579,68644,77302,2051,73775,84479,528,31531,46619
63361,1916,47663,56845,1173,62688,68676,743,25506,36025
63359,520,64853,73551,387,81250,86664,133,28482,32662
63357,2234,80097,87540,1815,82192,92537,419,37083,45841
63353,1882,46084,55756,1236,61917,67098,646,22662,32537
63352,545,42986,52066,324,48750,63850,221,27875,31575
63351,814,70875,74872,639,74948,83948,175,40885,41424
63350,247,72125,74389,201,76050,82579,46,28571,38130
63349,658,56210,74009,514,61591,80551,144,46250,49757
63348,2984,106422,123672,2458,117130,135158,526,37364,60049
63347,1000,72196,80105,803,82721,86143,197,37868,54066
63345,275,54479,60175,162,59057,62827,113,35846,54691
63344,465,58565,70054,326,72143,85212,139,26696,32667
63343,1552,48600,55364,1053,54840,61723,499,32031,37774
63341,1194,110333,142447,960,126563,165203,234,37500,49090
63339,325,36823,54369,239,52063,62575,86,21912,23114
63336,413,49375,89592,293,63194,92020,120,36250,77971
63334,2962,42744,60015,1814,54202,71638,1148,33629,37349
63333,321,66250,93582,231,105707,119804,90,27500,25041
63332,568,116667,106990,470,120357,116119,98,32708,55205
63330,70,48958,47377,42,70455,52221,28,41250,37336
63304,15496,101663,128937,12318,113992,141458,3178,58423,74975
63303,20683,82336,110989,12875,100158,121407,7808,55997,92057
63301,20142,64922,82286,11991,85954,100143,8151,42537,53612
63155,0,0,0,0,0,0,0,0,0
63147,3598,32107,40709,1873,36764,51053,1725,26332,28820
63146,15135,72813,96308,8110,105820,124187,7025,48048,62477
63144,4419,81863,113692,1986,117763,148806,2433,68705,84444
63143,4888,49611,62805,2102,72560,85075,2786,38818,45452
63141,8536,107173,183050,5385,149162,237379,3151,54392,89195
63140,140,28214,31332,48,22500,26604,92,30625,33532
63139,10790,60569,81333,4828,92028,112910,5962,45859,55216
63138,7167,42101,56764,4368,53032,68743,2799,27019,35859
63137,8144,40845,51650,5238,48453,59716,2906,33432,35855
63136,19169,32512,42263,11106,39274,48563,8063,25523,31066
63135,8883,47272,57930,5652,52190,65669,3231,31939,40581
63134,5321,41113,47250,3512,39936,48770,1809,32121,37562
63133,3156,27074,39503,1591,37135,44830,1565,19692,32020
63132,5507,66214,100684,3136,91523,133310,2371,46221,56292
63131,6439,164531,252216,5302,191167,279026,1137,79030,124304
63130,12310,72793,124603,6730,102339,167029,5580,43618,71851
63129,21649,79834,100083,14290,103709,121940,7359,43366,55922
63128,13423,76415,95376,8467,98337,120226,4956,38275,49431
63127,2083,99426,142878,1416,133333,174148,667,43150,73325
63126,6061,84566,105679,4284,99905,118368,1777,52511,68704
63125,13798,53102,63848,8662,60328,73432,5136,33557,42148
63124,5126,164545,288371,3377,232768,356829,1749,60013,154640
63123,22473,61253,74936,13078,82018,90105,9395,39584,51598
63122,15855,107016,134357,10568,134627,163811,5287,57305,75108
63121,11261,40025,50720,5773,49395,60785,5488,31544,38846
63120,2890,28110,39337,1564,38224,50222,1326,17745,24417
63119,14327,85257,110800,8256,121031,144587,6071,55766,63462
63118,11964,42469,59804,6264,50241,66656,5700,35618,49835
63117,4368,82685,122230,2137,126782,171515,2231,54331,73367
63116,19893,48902,64250,9837,62280,77737,10056,37964,48149
63115,7070,27453,38751,3789,40684,49463,3281,16405,23827
63114,14874,46664,58520,8580,53391,63564,6294,36261,47753
63113,4907,32607,44900,2850,43514,54616,2057,18509,27532
63112,8399,36506,57986,3350,69314,85751,5049,23515,38316
63111,8465,30338,49328,4012,40986,61056,4453,24070,32403
63110,8397,57157,80585,3605,90268,109521,4792,41365,57588
63109,14225,62930,78660,6468,94070,110679,7757,42072,50856
63108,11434,48535,85170,3124,88853,153216,8310,38137,58689
63107,4167,30828,37492,2106,42330,46759,2061,16701,26432
63106,4338,21708,43584,2158,27773,45646,2180,16714,40078
63105,6621,105597,185593,3707,158281,254340,2914,64701,97026
63104,9560,62533,87893,4492,67955,98939,5068,57374,76323
63103,5177,41943,60837,1183,93561,114201,3994,32047,44865
63102,1203,56849,69050,187,96612,114133,1016,46419,60752
63101,2420,77976,93334,530,75106,93047,1890,79557,93343
63091,519,65972,76739,387,87950,91401,132,27344,32487
63090,8727,76025,91842,6217,89718,105416,2510,37331,53494
63089,2136,59435,72806,1429,76852,87198,707,27114,42055
63088,4209,55008,78566,1886,73631,93416,2323,44979,64669
63087,441,0,64093,289,0,62370,152,0,66166
63084,7509,59418,74159,5191,69696,87085,2318,35729,40850
63080,5860,47213,61924,3760,65980,72528,2100,24766,39870
63079,22,0,0,0,0,0,22,0,0
63077,4469,53549,60048,3046,59958,65851,1423,32995,44420
63074,6630,46953,56442,3975,58602,60579,2655,31382,47077
63073,148,"250,000+",373249,123,"250,000+",435426,25,0,0
63072,1196,68729,85117,1011,78828,89297,185,48953,48876
63071,439,29097,42949,299,36063,48382,140,20625,29740
63070,2861,64176,73797,2133,72931,83038,728,30071,41036
63069,6164,60520,86749,4028,85063,110325,2136,27877,37692
63068,2125,59703,75338,1655,73750,86079,470,29881,32196
63061,48,137778,112556,48,137778,112556,0,0,0
63060,903,50197,61772,676,53693,66311,227,39755,42589
63057,0,0,0,0,0,0,0,0,0
63056,815,67750,68949,441,95893,92641,374,35658,40795
63055,710,82026,102155,594,83500,105327,116,0,83795
63053,40,42500,51860,24,31500,46142,16,66250,60438
63052,10265,76315,86623,7594,84551,94609,2671,44776,61335
63051,4806,63081,77732,3598,69744,83438,1208,39583,49793
63050,5985,72589,87187,4588,78714,96725,1397,34631,45206
63049,6428,72697,84962,4343,86362,96808,2085,36725,49932
63048,1375,65568,73652,1046,78293,82471,329,28875,39524
63047,16,0,0,16,0,0,0,0,0
63045,0,0,0,0,0,0,0,0,0
63044,4039,61901,90233,2753,78385,104379,1286,33472,50758
63043,9126,76944,86801,5736,88125,97149,3390,55078,66356
63042,8687,46400,59933,4514,58381,71400,4173,32419,45349
63041,180,61944,92590,122,94375,112452,58,51333,50809
63040,3148,109917,131308,2359,132572,148884,789,53924,75911
63039,232,61336,67020,165,44132,51159,67,0,56863
63038,2561,148594,190560,2176,162332,209164,385,67443,82514
63037,1220,51444,69431,769,68438,90449,451,25428,32042
63036,572,55946,78704,395,62539,94099,177,0,43160
63034,6623,95525,102526,5018,101881,108951,1605,64358,75957
63033,16441,57506,68563,9736,76336,81183,6705,34243,47636
63031,18136,64401,76282,12185,76245,84698,5951,42602,54378
63030,105,0,59179,91,0,63346,14,0,0
63028,10426,65127,76468,7460,75744,89091,2966,31972,41353
63026,16988,81395,98630,12305,94158,113040,4683,43942,55706
63025,5350,117002,135049,4206,120357,149239,1144,51714,77895
63023,2063,60558,74596,1555,64282,67176,508,33750,88307
63021,22050,92201,118679,15724,109819,137703,6326,50362,66880
63020,8129,52647,64733,5855,61929,71868,2274,30947,41266
63019,1819,57441,67247,1189,69838,80043,630,35147,41967
63017,16425,115095,158239,11568,151691,193497,4857,51294,71568
63016,2788,65250,78014,1846,73202,77592,942,39201,72658
63015,771,49321,96453,375,62969,101698,396,0,91486
63014,350,33900,50637,197,49971,70269,153,30495,24223
63013,474,90064,90192,291,101827,114357,183,46230,51764
63012,3777,81702,91318,3219,80685,89514,558,53207,67625
63011,14427,105586,129207,10686,126536,149780,3741,48798,68508
63010,13916,65883,74948,9532,77279,86022,4384,36648,47704
63005,6937,161364,227759,5599,192404,259086,1338,69737,93089
62999,671,44934,44477,409,52031,53666,262,22667,25600
62998,105,49219,61961,76,61944,85604,29,0,0
62997,237,54875,58563,150,56731,62490,87,50956,45552
62996,115,57656,123874,87,0,152098,28,21731,23346
62995,1418,47500,58432,961,57925,66483,457,22734,39449
62994,271,51023,65094,183,52067,66967,88,33750,44670
62992,277,51750,61442,227,62695,70941,50,17500,18316
62990,358,55682,77612,285,64420,89419,73,36354,31164
62988,481,42760,47848,323,47462,57924,158,19737,26789
62987,515,60625,61385,366,73182,71407,149,21080,34226
62985,210,59643,69880,177,59821,73688,33,0,49458
62984,658,26900,63440,394,40735,89852,264,16759,22226
