city,state,latitude,longitude,postcode,price,bedroom_number,bathroom_number,property_type
Los Angeles,CA,34.060535,-118.435135,90024,1550000,3,4,CONDO
Los Angeles,CA,34.061176,-118.43616,90024,799000,2,2,CONDO
Los Angeles,CA,34.06147,-118.43345,90024,1250000,2,3,CONDO
Los Angeles,CA,34.060535,-118.435135,90024,799000,1,2,CONDO
Los Angeles,CA,34.055965,-118.4333,90024,799900,2,2,CONDO
Los Angeles,CA,34.06245,-118.44173,90024,758000,1,1,CONDO
Los Angeles,CA,34.062607,-118.43231,90024,1200000,2,2,CONDO
Los Angeles,CA,34.05934,-118.44006,90024,2594000,2,3,CONDO
Los Angeles,CA,34.051384,-118.43527,90024,1150000,2,3,CONDO
Los Angeles,CA,34.061176,-118.43616,90024,650,1,2,CONDO
Los Angeles,CA,34.060184,-118.43472,90024,1649000,2,3,CONDO
Los Angeles,CA,34.06435,-118.43135,90024,2195000,2,3,CONDO
Los Angeles,CA,34.062607,-118.43231,90024,1125000,2,3,CONDO
Los Angeles,CA,34.06147,-118.43345,90024,799000,2,2,CONDO
Los Angeles,CA,34.061543,-118.43279,90024,2725000,3,3,CONDO
Los Angeles,CA,34.06056,-118.4379,90024,595000,1,2,CONDO
Los Angeles,CA,34.061543,-118.43279,90024,11999999,4,6,CONDO
Los Angeles,CA,34.059795,-118.438805,90024,2998000,2,3,CONDO
Los Angeles,CA,34.05427,-118.43178,90024,974000,2,2,CONDO
Los Angeles,CA,34.060425,-118.439255,90024,875000,3,3,CONDO
Los Angeles,CA,34.060486,-118.438194,90024,724500,1,2,CONDO
Los Angeles,CA,34.060333,-118.43959,90024,1479000,1,2,CONDO
Los Angeles,CA,34.060425,-118.439255,90024,2599000,4,4,CONDO
Los Angeles,CA,34.066006,-118.43112,90024,1295000,2,2,CONDO
Los Angeles,CA,34.060936,-118.43728,90024,1995000,2,3,CONDO
Los Angeles,CA,34.055965,-118.4333,90024,798000,2,2,CONDO
Los Angeles,CA,34.06435,-118.43135,90024,1995000,3,3,CONDO
Los Angeles,CA,34.060333,-118.4396,90024,1490000,2,3,CONDO
Los Angeles,CA,34.060215,-118.43663,90024,2345000,3,4,CONDO
Los Angeles,CA,34.05934,-118.44006,90024,3975000,2,4,CONDO
Los Angeles,CA,34.059795,-118.438805,90024,3050000,2,3,CONDO
Los Angeles,CA,34.06167,-118.43434,90024,2150000,2,3,CONDO
Los Angeles,CA,34.060425,-118.439255,90024,2500000,3,3,CONDO
Downey,CA,33.932346,-118.16229,90242,399999,1,,CONDO
Los Angeles,CA,34.064156,-118.43278,90024,1395000,2,2,CONDO
Los Angeles,CA,34.059795,-118.438805,90024,3099099,2,3,CONDO
Los Angeles,CA,34.064156,-118.43278,90024,875000,2,2,CONDO
Los Angeles,CA,34.060333,-118.43959,90024,1445000,2,2,CONDO
Los Angeles,CA,34.060535,-118.435135,90024,1299950,2,3,CONDO
Los Angeles,CA,34.061543,-118.43279,90024,3350000,3,4,CONDO
Los Angeles,CA,34.059795,-118.438805,90024,2700000,2,3,CONDO
Los Angeles,CA,34.060936,-118.43728,90024,1568000,2,3,CONDO
Los Angeles,CA,34.06435,-118.43135,90024,1475000,2,3,CONDO
Los Angeles,CA,34.06167,-118.43434,90024,1895000,2,3,CONDO
Los Angeles,CA,34.062607,-118.43231,90024,1599999,2,2,CONDO
Beverly Hills,CA,34.060333,-118.43959,90024,1495000,2,2,CONDO
Los Angeles,CA,34.05934,-118.44006,90024,3747000,2,3,CONDO
Los Angeles,CA,34.06042,-118.43924,90024,820000,2,2,CONDO
Los Angeles,CA,34.060215,-118.43663,90024,3295000,3,4,CONDO
Los Angeles,CA,34.064156,-118.43278,90024,1200000,2,3,CONDO
Los Angeles,CA,34.061176,-118.43616,90024,785000,1,2,CONDO
Los Angeles,CA,34.06435,-118.43135,90024,2895000,2,3,CONDO
Los Angeles,CA,34.05934,-118.44006,90024,3000000,3,4,CONDO
Los Angeles,CA,34.06338,-118.432014,90024,1350000,3,3,CONDO
Los Angeles,CA,34.061543,-118.43279,90024,2695000,3,4,CONDO
Los Angeles,CA,34.06167,-118.43434,90024,9980000,3,6,CONDO
Los Angeles,CA,34.062706,-118.4333,90024,1450000,2,3,CONDO
Los Angeles,CA,34.07648,-118.342445,90036,2250000,3,3,CONDO
Los Angeles,CA,34.099693,-118.34994,90046,550000,1,1,CONDO
Los Angeles,CA,34.100636,-118.325874,90028,2149000,2,3,CONDO
Los Angeles,CA,34.10294,-118.34747,90046,389000,0,1,CONDO
Los Angeles,CA,34.100002,-118.34932,90046,1449999,2,3,CONDO
Los Angeles,CA,34.102806,-118.349434,90046,495000,1,1,CONDO
Los Angeles,CA,34.103703,-118.34932,90046,950000,2,2,CONDO
Los Angeles,CA,34.10196,-118.32638,90028,1295000,2,2,CONDO
Los Angeles,CA,34.100636,-118.325874,90028,1075000,2,3,CONDO
Los Angeles,CA,34.101887,-118.34648,90046,649000,2,2,CONDO
Los Angeles,CA,34.099693,-118.34994,90046,480000,1,1,CONDO
Los Angeles,CA,34.09657,-118.345505,90046,899000,2,2,CONDO
Los Angeles,CA,34.103317,-118.33723,90028,699900,2,3,CONDO
Los Angeles,CA,34.10267,-118.34853,90046,749000,2,2,CONDO
Los Angeles,CA,34.10341,-118.29485,90027,575000,1,1,CONDO
Los Angeles,CA,34.106335,-118.29161,90027,599000,1,1,CONDO
Los Angeles,CA,34.10128,-118.3271,90028,750000,1,1,CONDO
Los Angeles,CA,34.102806,-118.34943,90046,499000,1,1,CONDO
