address,city,state,postcode,latitude,longitude,bedroom_number,bathroom_number,square_meter,price,household_number,household_mean_income,families_number,family_mean_income,non_family_number,non_family_mean_income,population,20to24,25to34,35to44,45to54,55to59,60to64,65to74,75to84,median_age
Hummer Bay Drive,Eagle River,AK,99577,61.326187,-149.58006,3,2,144,263000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
Horseshoe Drive,Eagle River,AK,99577,61.32997,-149.56375,2,2,111,225000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
East Melissa Rose Circle,Palmer,AK,99645,61.58838,-149.10814,2,2,137,279900,8726,99861,6357,111458,2369,58415,30706,1877,4338,4107,3791,2076,1770,2573,851,35.2
Fire Eagle Way,Eagle River,AK,99577,61.34539,-149.55745,3,2,141,245000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
Wood River Way,Eagle River,AK,99577,61.32285,-149.57558,2,2,101,249900,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
Vista Ridge Loop,Eagle River,AK,99577,61.331596,-149.56317,3,3,146,339000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
Business Boulevard,Eagle River,AK,99577,61.327,-149.57596,1,1,51,157000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
Eagles Nest Court,Eagle River,AK,99577,61.304432,-149.50742,4,3,217,499000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
River Heights Loop,Eagle River,AK,99577,61.312065,-149.57191,2,3,134,250000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
Eagles Nest Court,Eagle River,AK,99577,61.30422,-149.5055,3,3,167,445000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
