address,city,state,postcode,latitude,longitude,bedroom_number,bathroom_number,square_meter,price,household_number,household_mean_income,families_number,family_mean_income,non_family_number,non_family_mean_income,population,20to24,25to34,35to44,45to54,55to59,60to64,65to74,75to84,median_age
Clark Street,Van Nuys,CA,91411,34.168217,-118.450516,3,3,119,610000,9559,80437,5399,84085,4160,71476,23902,1465,4399,4097,3135,1815,980,1374,551,36
Magnolia Boulevard,Sherman Oaks,CA,91403,34.165413,-118.464134,2,2,104,599000,11803,155202,6233,204885,5570,97311,26061,1058,5266,4195,4069,1450,1484,2285,946,39.1
Columbus Avenue,North Hills,CA,91343,34.22498,-118.46605,2,2,77,375000,17977,90329,14001,93343,3976,63970,64519,4864,9225,9035,8723,3453,3433,4758,1906,35
West Roscoe Boulevard,Northridge,CA,91325,34.22216,-118.50529,3,2,130,549900,12372,102036,7740,115877,4632,70699,35355,3459,5309,4964,4476,2569,2209,3013,1212,37.9
Vanowen Street,Van Nuys,CA,91406,34.19356,-118.48089,1,1,68,349888,18685,81267,12160,86913,6525,63324,54404,3516,9422,8563,6636,3753,3099,3721,1376,35.5
Osborne Street,Pacoima,CA,91331,34.2337,-118.437904,2,2,96,415000,23398,81509,19578,83850,3820,42539,102553,7959,15790,13771,13355,6425,4648,6960,3680,34.3
Orion Avenue,North Hills,CA,91343,34.23486,-118.47155,2,2,95,399999,17977,90329,14001,93343,3976,63970,64519,4864,9225,9035,8723,3453,3433,4758,1906,35
Cedros Avenue,Panorama City,CA,91402,34.233692,-118.45403,2,2,92,379000,20340,65654,15527,67579,4813,46926,68076,5116,10928,9425,9156,4062,3500,5000,1619,34.7
Hazeltine Avenue,Van Nuys,CA,91405,34.205788,-118.43967,2,3,105,485000,18558,68642,12360,70829,6198,57434,55751,3926,10855,8198,7033,3617,2538,3322,1409,34.3
Willis Avenue,Panorama City,CA,91402,34.234455,-118.45482,2,2,77,350000,20340,65654,15527,67579,4813,46926,68076,5116,10928,9425,9156,4062,3500,5000,1619,34.7
Sherman Way,Los angeles,CA,91405,34.201546,-118.43755,2,2,102,499900,18558,68642,12360,70829,6198,57434,55751,3926,10855,8198,7033,3617,2538,3322,1409,34.3
None,Van Nuys,CA,91406,34.18974,-118.491776,3,3,129,620000,18685,81267,12160,86913,6525,63324,54404,3516,9422,8563,6636,3753,3099,3721,1376,35.5
Sherman Way,Los Angeles,CA,91406,34.201855,-118.470215,2,2,104,420000,18685,81267,12160,86913,6525,63324,54404,3516,9422,8563,6636,3753,3099,3721,1376,35.5
Victory Boulevard,Van Nuys,CA,91411,34.18633,-118.46094,2,2,111,460000,9559,80437,5399,84085,4160,71476,23902,1465,4399,4097,3135,1815,980,1374,551,36
Firmament Avenue,Van Nuys,CA,91406,34.200157,-118.47284,2,2,89,435000,18685,81267,12160,86913,6525,63324,54404,3516,9422,8563,6636,3753,3099,3721,1376,35.5
Hillpark Drive,Los Angeles,CA,90068,34.117336,-118.33966,2,2,110,699000,11723,163696,4115,279485,7608,99179,21127,740,4225,3799,3852,1726,1145,2161,745,43.1
Zombar Avenue,Van Nuys,CA,91406,34.207863,-118.46684,3,3,143,495000,18685,81267,12160,86913,6525,63324,54404,3516,9422,8563,6636,3753,3099,3721,1376,35.5
Magnolia Boulevard,Sherman Oaks,CA,91403,34.165844,-118.46562,2,2,113,659000,11803,155202,6233,204885,5570,97311,26061,1058,5266,4195,4069,1450,1484,2285,946,39.1
Willis Avenue,Panorama City,CA,91402,34.230137,-118.45588,2,2,93,310000,20340,65654,15527,67579,4813,46926,68076,5116,10928,9425,9156,4062,3500,5000,1619,34.7
Hillpark Drive,Los Angeles,CA,90068,34.117332,-118.339645,2,2,97,699000,11723,163696,4115,279485,7608,99179,21127,740,4225,3799,3852,1726,1145,2161,745,43.1
White Oak Avenue,Los angeles,CA,91316,34.169823,-118.5173,2,2,92,420000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Willis Avenue,Sherman Oaks,CA,91403,34.155422,-118.45582,2,2,113,650000,11803,155202,6233,204885,5570,97311,26061,1058,5266,4195,4069,1450,1484,2285,946,39.1
Newcastle Avenue,Encino,CA,91316,34.16792,-118.52513,2,2,116,545000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Etiwanda Avenue,Tarzana,CA,91356,34.175323,-118.53054,2,1,79,379000,11982,135952,7826,163206,4156,79924,29968,1600,3459,3919,4292,1851,2505,3223,1769,44.1
White Oak Avenue,Encino,CA,91316,34.169823,-118.5173,2,2,92,395000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Natick Avenue,Sherman Oaks,CA,91403,34.153214,-118.45377,2,2,107,624800,11803,155202,6233,204885,5570,97311,26061,1058,5266,4195,4069,1450,1484,2285,946,39.1
Burbank Boulevard,Tarzana,CA,91356,34.17324,-118.531746,1,1,67,365000,11982,135952,7826,163206,4156,79924,29968,1600,3459,3919,4292,1851,2505,3223,1769,44.1
Hatteras Street,Tarzana,CA,91356,34.177036,-118.53929,3,2,102,485000,11982,135952,7826,163206,4156,79924,29968,1600,3459,3919,4292,1851,2505,3223,1769,44.1
Lindley Avenue,Encino,CA,91316,34.168972,-118.5264,1,1,74,399000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Willis Avenue,Sherman Oaks,CA,91403,34.156517,-118.4558,1,2,115,499000,11803,155202,6233,204885,5570,97311,26061,1058,5266,4195,4069,1450,1484,2285,946,39.1
Newcastle Avenue,Encino,CA,91316,34.168552,-118.52397,1,1,68,359000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Natick Avenue,Sherman Oaks,CA,91403,34.15358,-118.45384,1,1,86,499000,11803,155202,6233,204885,5570,97311,26061,1058,5266,4195,4069,1450,1484,2285,946,39.1
Kester Avenue,Sherman Oaks,CA,91403,34.156414,-118.45682,2,2,100,665000,11803,155202,6233,204885,5570,97311,26061,1058,5266,4195,4069,1450,1484,2285,946,39.1
Natick Avenue,Sherman Oaks,CA,91403,34.153214,-118.45377,1,1,72,439000,11803,155202,6233,204885,5570,97311,26061,1058,5266,4195,4069,1450,1484,2285,946,39.1
Dickens Street,Sherman Oaks,CA,91403,34.151985,-118.46502,2,1,81,545000,11803,155202,6233,204885,5570,97311,26061,1058,5266,4195,4069,1450,1484,2285,946,39.1
Willis Avenue,Sherman Oaks,CA,91403,34.155422,-118.45582,2,2,109,650000,11803,155202,6233,204885,5570,97311,26061,1058,5266,4195,4069,1450,1484,2285,946,39.1
Sherman Way,Los Angeles,CA,91335,34.201504,-118.54731,2,2,80,465000,24581,88464,18008,93934,6573,61829,78205,5349,11397,10963,11205,5338,4184,6099,2829,37.5
White Oak Avenue,Van Nuys,CA,91316,34.169823,-118.5173,2,2,92,450000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
White Oak Avenue,Los angeles,CA,91316,34.169823,-118.5173,2,2,92,325000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Hillpark Drive,Los Angeles,CA,90068,34.117332,-118.339645,2,2,99,649995,11723,163696,4115,279485,7608,99179,21127,740,4225,3799,3852,1726,1145,2161,745,43.1
Lindley Avenue,Encino,CA,91316,34.16702,-118.52651,2,3,209,779000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Zelzah Avenue,Encino,CA,91316,34.166096,-118.521545,2,3,148,729000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Sherman Way,Los angeles,CA,91335,34.201504,-118.54731,1,1,68,389000,24581,88464,18008,93934,6573,61829,78205,5349,11397,10963,11205,5338,4184,6099,2829,37.5
Sherman Way,Los Angeles,CA,91335,34.200134,-118.52288,1,1,49,265000,24581,88464,18008,93934,6573,61829,78205,5349,11397,10963,11205,5338,4184,6099,2829,37.5
Hatteras Street,Tarzana,CA,91356,34.177315,-118.53212,2,1,77,424995,11982,135952,7826,163206,4156,79924,29968,1600,3459,3919,4292,1851,2505,3223,1769,44.1
Yarmouth Avenue,Encino,CA,91316,34.166286,-118.519424,2,2,166,789000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Newcastle Avenue,Encino,CA,91316,34.168552,-118.52397,2,2,89,450000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Newcastle Avenue,Encino,CA,91316,34.168552,-118.52397,1,1,67,359000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
White Oak Avenue,Encino,CA,91316,34.169823,-118.5173,2,2,92,325000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Hatteras Street,Tarzana,CA,91356,34.17814,-118.53388,2,3,99,398000,11982,135952,7826,163206,4156,79924,29968,1600,3459,3919,4292,1851,2505,3223,1769,44.1
Newcastle Avenue,Encino,CA,91316,34.167473,-118.52514,2,2,87,465000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Lindley Avenue,Encino,CA,91316,34.16791,-118.52651,2,2,112,519999,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Newcastle Avenue,Encino,CA,91316,34.167824,-118.52359,2,2,96,469500,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Newcastle Avenue,Encino,CA,91316,34.168552,-118.52397,2,2,84,395000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
White Oak Avenue,Encino,CA,91316,34.169823,-118.5173,2,2,94,369000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Encino Avenue,Encino,CA,91316,34.171623,-118.51354,2,2,114,599000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Etiwanda Avenue,Tarzana,CA,91356,34.175323,-118.53054,2,1,79,419950,11982,135952,7826,163206,4156,79924,29968,1600,3459,3919,4292,1851,2505,3223,1769,44.1
Burbank Boulevard,Tarzana,CA,91356,34.17324,-118.531746,2,2,91,499000,11982,135952,7826,163206,4156,79924,29968,1600,3459,3919,4292,1851,2505,3223,1769,44.1
Lindley Avenue,Encino,CA,91316,34.16791,-118.52651,2,2,112,510000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Etiwanda Avenue,Tarzana,CA,91356,34.175323,-118.53054,3,2,102,490000,11982,135952,7826,163206,4156,79924,29968,1600,3459,3919,4292,1851,2505,3223,1769,44.1
Newcastle Avenue,Encino,CA,91316,34.168636,-118.52514,2,2,96,449000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Newcastle Avenue,Encino,CA,91316,34.167824,-118.52359,1,1,75,369900,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Burbank Boulevard,Tarzana,CA,91356,34.17324,-118.531746,2,2,94,525000,11982,135952,7826,163206,4156,79924,29968,1600,3459,3919,4292,1851,2505,3223,1769,44.1
White Oak Avenue,Encino,CA,91316,34.169823,-118.5173,2,2,92,400000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Yarmouth Avenue,Encino,CA,91316,34.16686,-118.52076,2,2,111,489000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
White Oak Avenue,Los angeles,CA,91316,34.169823,-118.5173,1,1,63,312500,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
Etiwanda Avenue,Tarzana,CA,91356,34.175323,-118.53054,3,2,102,415800,11982,135952,7826,163206,4156,79924,29968,1600,3459,3919,4292,1851,2505,3223,1769,44.1
Newcastle Avenue,Encino,CA,91316,34.168636,-118.52514,2,2,103,199000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
White Oak Avenue,Los angeles,CA,91316,34.169807,-118.51799,2,2,92,349000,12815,113694,7647,140389,5168,69902,28182,786,3325,4568,3988,1875,2244,3153,1492,44.3
East Preserve Loop,Chino,CA,91708,33.96472,-117.61936,3,3,143,650000,1287,69660,1087,68195,200,75245,14179,588,3129,2946,1718,717,437,747,121,34.2
Bay Laurel Street,Chino,CA,91708,33.962227,-117.6157,3,3,179,727000,1287,69660,1087,68195,200,75245,14179,588,3129,2946,1718,717,437,747,121,34.2
Forest Park Street,Chino,CA,91708,33.96487,-117.6224,2,3,116,500000,1287,69660,1087,68195,200,75245,14179,588,3129,2946,1718,717,437,747,121,34.2
Timberland Lane,Chino,CA,91708,33.966724,-117.62163,3,2,188,599000,1287,69660,1087,68195,200,75245,14179,588,3129,2946,1718,717,437,747,121,34.2
Explorer Street,Chino,CA,91708,33.964317,-117.61935,3,3,146,600000,1287,69660,1087,68195,200,75245,14179,588,3129,2946,1718,717,437,747,121,34.2
Birdfeeder Lane,Chino,CA,91708,33.965126,-117.62701,2,2,138,535000,1287,69660,1087,68195,200,75245,14179,588,3129,2946,1718,717,437,747,121,34.2
Dronfield Avenue,Sylmar,CA,91342,34.313526,-118.44281,3,2,112,530000,24833,92356,20255,97385,4578,54344,92764,6264,13856,12455,12095,6280,5676,7368,3048,36.5
Ralston Avenue,Sylmar,CA,91342,34.29943,-118.45564,3,3,110,525000,24833,92356,20255,97385,4578,54344,92764,6264,13856,12455,12095,6280,5676,7368,3048,36.5
East Preserve Loop,Chino Hills,CA,91708,33.96734,-117.620964,3,3,144,649900,1287,69660,1087,68195,200,75245,14179,588,3129,2946,1718,717,437,747,121,34.2
Founders Grove Street,Chino,CA,91708,33.96549,-117.615456,3,3,150,640000,1287,69660,1087,68195,200,75245,14179,588,3129,2946,1718,717,437,747,121,34.2
Foothill Boulevard,Los angeles,CA,91342,34.319656,-118.44518,2,2,86,460000,24833,92356,20255,97385,4578,54344,92764,6264,13856,12455,12095,6280,5676,7368,3048,36.5
Bay Laurel Street,Chino,CA,91708,33.963066,-117.615295,3,3,170,714777,1287,69660,1087,68195,200,75245,14179,588,3129,2946,1718,717,437,747,121,34.2
Olive View Drive,Sylmar,CA,91342,34.323154,-118.44748,2,3,94,480000,24833,92356,20255,97385,4578,54344,92764,6264,13856,12455,12095,6280,5676,7368,3048,36.5
Huckleberry Avenue,Chino,CA,91708,33.96256,-117.61682,4,3,177,700000,1287,69660,1087,68195,200,75245,14179,588,3129,2946,1718,717,437,747,121,34.2
Dronfield Avenue,Sylmar,CA,91342,34.30805,-118.43673,1,1,55,249000,24833,92356,20255,97385,4578,54344,92764,6264,13856,12455,12095,6280,5676,7368,3048,36.5
Desert Holly Street,Chino,CA,91708,33.95778,-117.64054,3,2,144,555000,1287,69660,1087,68195,200,75245,14179,588,3129,2946,1718,717,437,747,121,34.2
Beaver Street,Sylmar,CA,91342,34.30769,-118.43467,3,2,106,450000,24833,92356,20255,97385,4578,54344,92764,6264,13856,12455,12095,6280,5676,7368,3048,36.5
Fenton Lane,Sylmar,CA,91342,34.325905,-118.440025,3,2,129,675000,24833,92356,20255,97385,4578,54344,92764,6264,13856,12455,12095,6280,5676,7368,3048,36.5
Foothill Boulevard,Sylmar,CA,91342,34.319447,-118.444916,2,3,108,429900,24833,92356,20255,97385,4578,54344,92764,6264,13856,12455,12095,6280,5676,7368,3048,36.5
Foothill Boulevard,Sylmar,CA,91342,34.305523,-118.42913,3,3,125,524999,24833,92356,20255,97385,4578,54344,92764,6264,13856,12455,12095,6280,5676,7368,3048,36.5
Glenoaks Boulevard,Sylmar,CA,91342,34.321392,-118.469376,3,3,136,595000,24833,92356,20255,97385,4578,54344,92764,6264,13856,12455,12095,6280,5676,7368,3048,36.5
Watt Lane,Kagel Canyon,CA,91342,34.302,-118.42341,4,4,165,650000,24833,92356,20255,97385,4578,54344,92764,6264,13856,12455,12095,6280,5676,7368,3048,36.5
Roxford Street,Sylmar,CA,91342,34.317204,-118.46343,3,3,122,535000,24833,92356,20255,97385,4578,54344,92764,6264,13856,12455,12095,6280,5676,7368,3048,36.5
Watt Lane,Sylmar,CA,91342,34.30175,-118.4234,5,4,165,634990,24833,92356,20255,97385,4578,54344,92764,6264,13856,12455,12095,6280,5676,7368,3048,36.5
Willis Avenue,Sherman Oaks,CA,91403,34.155884,-118.45582,2,2,136,620000,11803,155202,6233,204885,5570,97311,26061,1058,5266,4195,4069,1450,1484,2285,946,39.1
Kester Avenue,Sherman Oaks,CA,91403,34.15465,-118.45776,2,2,140,655000,11803,155202,6233,204885,5570,97311,26061,1058,5266,4195,4069,1450,1484,2285,946,39.1
Benefit Street,Sherman Oaks,CA,91403,34.149334,-118.45127,2,2,149,900000,11803,155202,6233,204885,5570,97311,26061,1058,5266,4195,4069,1450,1484,2285,946,39.1
Georgetown Place,Chula Vista,CA,91911,32.60676,-117.03078,2,2,114,510000,25145,82231,20275,88765,4870,45098,88589,6105,14094,11994,11570,5305,5042,6101,3287,35.8
Sonora Drive,Chula Vista,CA,91911,32.604736,-117.02978,4,3,136,549000,25145,82231,20275,88765,4870,45098,88589,6105,14094,11994,11570,5305,5042,6101,3287,35.8
Yolanda Avenue,Tarzana,CA,91356,34.172783,-118.54047,2,2,85,435000,11982,135952,7826,163206,4156,79924,29968,1600,3459,3919,4292,1851,2505,3223,1769,44.1
North Kenwood Street,Glendale,CA,91206,34.154995,-118.251755,2,2,114,740000,13050,104456,8678,112486,4372,84931,32570,1725,4656,4546,4773,2211,2199,3388,1977,42.7
West Stocker Street,Glendale,CA,91202,34.163166,-118.26637,2,2,140,749500,9359,112551,5898,129491,3461,81273,22757,1028,3964,2716,3204,1476,1648,2651,1519,44.3
West Stocker Street,Glendale,CA,91202,34.16386,-118.268814,2,2,115,585000,9359,112551,5898,129491,3461,81273,22757,1028,3964,2716,3204,1476,1648,2651,1519,44.3
North Central Avenue,Glendale,CA,91202,34.166706,-118.25744,3,2,122,695000,9359,112551,5898,129491,3461,81273,22757,1028,3964,2716,3204,1476,1648,2651,1519,44.3
Winchester Avenue,Glendale,CA,91201,34.172016,-118.286545,2,3,127,699000,8238,91494,5411,106862,2827,59192,22807,1550,2756,3352,3166,1646,1700,2048,1306,41.1
Chester Street,Glendale,CA,91203,34.15091,-118.27025,2,2,96,559000,6223,85141,3790,95497,2433,67240,16557,926,3893,2536,1946,1162,775,1552,828,37
North Louise Street,Glendale,CA,91207,34.162354,-118.252266,2,1,76,598888,4151,134534,2828,157687,1323,74200,11488,456,1745,974,1703,931,998,1041,580,43.1
Kenwood Place,Glendale,CA,91206,34.15566,-118.25084,2,2,110,595000,13050,104456,8678,112486,4372,84931,32570,1725,4656,4546,4773,2211,2199,3388,1977,42.7
North Louise Street,Glendale,CA,91206,34.15329,-118.25299,2,2,102,699000,13050,104456,8678,112486,4372,84931,32570,1725,4656,4546,4773,2211,2199,3388,1977,42.7
North Jackson Street,Glendale,CA,91206,34.15153,-118.25048,2,2,93,599900,13050,104456,8678,112486,4372,84931,32570,1725,4656,4546,4773,2211,2199,3388,1977,42.7
North Central Avenue,Glendale,CA,91202,34.162243,-118.256386,3,2,124,750000,9359,112551,5898,129491,3461,81273,22757,1028,3964,2716,3204,1476,1648,2651,1519,44.3
Jackson Place,Glendale,CA,91206,34.155598,-118.24969,2,2,106,599000,13050,104456,8678,112486,4372,84931,32570,1725,4656,4546,4773,2211,2199,3388,1977,42.7
Ivy Street,Glendale,CA,91204,34.145557,-118.26446,2,2,145,679000,6743,76327,4157,71860,2586,80051,18738,1103,4239,2432,2657,1148,1156,1382,838,36.8
Colorado Boulevard,Glendale,CA,91204,34.14313,-118.26267,1,1,78,525000,6743,76327,4157,71860,2586,80051,18738,1103,4239,2432,2657,1148,1156,1382,838,36.8
West Maple Street,Glendale,CA,91204,34.138542,-118.256165,3,3,132,799000,6743,76327,4157,71860,2586,80051,18738,1103,4239,2432,2657,1148,1156,1382,838,36.8
North Jackson Street,Glendale,CA,91206,34.14871,-118.24976,3,3,136,799900,13050,104456,8678,112486,4372,84931,32570,1725,4656,4546,4773,2211,2199,3388,1977,42.7
Salem Street,Glendale,CA,91203,34.148655,-118.264015,2,2,107,649000,6223,85141,3790,95497,2433,67240,16557,926,3893,2536,1946,1162,775,1552,828,37
North Louise Street,Glendale,CA,91206,34.149826,-118.25248,2,2,107,599900,13050,104456,8678,112486,4372,84931,32570,1725,4656,4546,4773,2211,2199,3388,1977,42.7
West Stocker Street,Glendale,CA,91202,34.163876,-118.26682,2,3,123,699900,9359,112551,5898,129491,3461,81273,22757,1028,3964,2716,3204,1476,1648,2651,1519,44.3
Campbell Street,Glendale,CA,91207,34.16281,-118.25067,2,2,97,650000,4151,134534,2828,157687,1323,74200,11488,456,1745,974,1703,931,998,1041,580,43.1
North Louise Street,Glendale,CA,91206,34.150864,-118.25229,2,2,106,680000,13050,104456,8678,112486,4372,84931,32570,1725,4656,4546,4773,2211,2199,3388,1977,42.7
South Street,Glendale,CA,91202,34.162907,-118.26814,2,2,95,599000,9359,112551,5898,129491,3461,81273,22757,1028,3964,2716,3204,1476,1648,2651,1519,44.3
Monterey Road,Glendale,CA,91206,34.15728,-118.252975,2,3,173,849000,13050,104456,8678,112486,4372,84931,32570,1725,4656,4546,4773,2211,2199,3388,1977,42.7
Wyandotte Street,Reseda,CA,91335,34.20238,-118.55608,3,2,110,489000,24581,88464,18008,93934,6573,61829,78205,5349,11397,10963,11205,5338,4184,6099,2829,37.5
Cameron Place,Glendale,CA,91207,34.15884,-118.25092,2,2,105,645000,4151,134534,2828,157687,1323,74200,11488,456,1745,974,1703,931,998,1041,580,43.1
North Kenwood Street,Glendale,CA,91206,34.14953,-118.25104,2,2,110,594800,13050,104456,8678,112486,4372,84931,32570,1725,4656,4546,4773,2211,2199,3388,1977,42.7
North Louise Street,Glendale,CA,91206,34.15087,-118.252304,2,2,119,689000,13050,104456,8678,112486,4372,84931,32570,1725,4656,4546,4773,2211,2199,3388,1977,42.7
Portsmouth Drive,Chula Vista,CA,91911,32.60825,-117.02735,2,3,117,519000,25145,82231,20275,88765,4870,45098,88589,6105,14094,11994,11570,5305,5042,6101,3287,35.8
Portsmouth Drive,Chula Vista,CA,91911,32.60825,-117.02735,2,2,114,550000,25145,82231,20275,88765,4870,45098,88589,6105,14094,11994,11570,5305,5042,6101,3287,35.8
Canal Drive,Rancho Cucamonga,CA,91739,34.1137,-117.53313,3,4,145,599990,11421,148191,9535,154502,1886,103172,41427,2334,6957,5735,6414,2859,1987,2799,839,35.1
Benton Drive,Rancho Cucamonga,CA,91739,34.114548,-117.53379,2,2,139,559900,11421,148191,9535,154502,1886,103172,41427,2334,6957,5735,6414,2859,1987,2799,839,35.1
Sherman Way,Los angeles,CA,91335,34.200134,-118.52288,1,1,62,299900,24581,88464,18008,93934,6573,61829,78205,5349,11397,10963,11205,5338,4184,6099,2829,37.5
East Acacia Avenue,Glendale,CA,91205,34.135197,-118.24615,2,2,116,630000,14052,71879,9105,81597,4947,50581,36367,2191,6319,5121,4408,2171,1838,3642,2400,40.1
Walcott Place,Rancho Cucamonga,CA,91739,34.123573,-117.529434,2,2,90,429000,11421,148191,9535,154502,1886,103172,41427,2334,6957,5735,6414,2859,1987,2799,839,35.1
North Louise Street,Glendale,CA,91206,34.150135,-118.253235,1,1,57,359000,13050,104456,8678,112486,4372,84931,32570,1725,4656,4546,4773,2211,2199,3388,1977,42.7
Hollyhock Drive,Rancho Cucamonga,CA,91739,34.11416,-117.535126,2,2,139,650000,11421,148191,9535,154502,1886,103172,41427,2334,6957,5735,6414,2859,1987,2799,839,35.1
Wilbur Avenue,Reseda,CA,91335,34.191032,-118.54556,3,2,113,549999,24581,88464,18008,93934,6573,61829,78205,5349,11397,10963,11205,5338,4184,6099,2829,37.5
Reseda / Hatteras,Tarzana,CA,91356,34.177364,-118.53645,1,1,61,239950,11982,135952,7826,163206,4156,79924,29968,1600,3459,3919,4292,1851,2505,3223,1769,44.1
Reseda / Hatteras,Tarzana,CA,91356,34.177364,-118.53645,2,2,84,350000,11982,135952,7826,163206,4156,79924,29968,1600,3459,3919,4292,1851,2505,3223,1769,44.1
Glenoaks Boulevard,Sun Valley,CA,91352,34.227234,-118.36483,2,2,77,379900,12335,79537,9542,84229,2793,54085,45900,3182,7613,5547,6993,2776,2896,3562,1334,36.6
The Old Road,Castaic,CA,91384,34.486824,-118.61974,2,3,113,469900,7019,129896,5871,139038,1148,70324,28693,2322,5420,4118,3931,2211,1564,1723,624,35
Canal Drive,Rancho Cucamonga,CA,91739,34.113705,-117.532776,2,3,135,559000,11421,148191,9535,154502,1886,103172,41427,2334,6957,5735,6414,2859,1987,2799,839,35.1
Glenoaks Boulevard,San Fernando,CA,91340,34.29769,-118.43636,3,3,129,500000,9015,83239,7367,87859,1648,39603,35918,2337,5343,5232,4659,2232,1962,2629,1138,35.4
Walcott Place,Rancho Cucamonga,CA,91739,34.123573,-117.529434,2,3,107,530000,11421,148191,9535,154502,1886,103172,41427,2334,6957,5735,6414,2859,1987,2799,839,35.1
Hatteras Street,Tarzana,CA,91356,34.177036,-118.53929,2,2,100,410000,11982,135952,7826,163206,4156,79924,29968,1600,3459,3919,4292,1851,2505,3223,1769,44.1
Reseda Boulevard,Reseda,CA,91335,34.20971,-118.53725,2,2,72,365000,24581,88464,18008,93934,6573,61829,78205,5349,11397,10963,11205,5338,4184,6099,2829,37.5
Luminaire Place,Rancho Cucamonga,CA,91739,34.1202,-117.53724,3,3,177,678000,11421,148191,9535,154502,1886,103172,41427,2334,6957,5735,6414,2859,1987,2799,839,35.1
Collins Street,Tarzana,CA,91356,34.1751,-118.53803,2,2,90,499000,11982,135952,7826,163206,4156,79924,29968,1600,3459,3919,4292,1851,2505,3223,1769,44.1
East Avenue,Rancho Cucamonga,CA,91739,34.12413,-117.51223,4,3,168,589900,11421,148191,9535,154502,1886,103172,41427,2334,6957,5735,6414,2859,1987,2799,839,35.1
Hubbard Street,Sylmar,CA,91342,34.3086,-118.42799,2,2,107,359900,24833,92356,20255,97385,4578,54344,92764,6264,13856,12455,12095,6280,5676,7368,3048,36.5
Solstice Place,Rancho Cucamonga,CA,91739,34.120167,-117.539024,3,3,172,639000,11421,148191,9535,154502,1886,103172,41427,2334,6957,5735,6414,2859,1987,2799,839,35.1
Bromont Avenue,Sylmar,CA,91342,34.30943,-118.435234,2,1,80,375000,24833,92356,20255,97385,4578,54344,92764,6264,13856,12455,12095,6280,5676,7368,3048,36.5
Elevage Drive,Rancho Cucamonga,CA,91739,34.12243,-117.5305,3,3,141,650000,11421,148191,9535,154502,1886,103172,41427,2334,6957,5735,6414,2859,1987,2799,839,35.1
Foothill Boulevard,Sylmar,CA,91342,34.319023,-118.44444,2,3,108,489900,24833,92356,20255,97385,4578,54344,92764,6264,13856,12455,12095,6280,5676,7368,3048,36.5
Roxford Street,Sylmar,CA,91342,34.319584,-118.46332,3,3,172,695000,24833,92356,20255,97385,4578,54344,92764,6264,13856,12455,12095,6280,5676,7368,3048,36.5
Hatteras Street,Tarzana,CA,91356,34.177036,-118.53929,2,2,85,240000,11982,135952,7826,163206,4156,79924,29968,1600,3459,3919,4292,1851,2505,3223,1769,44.1
Bellflower Court,Rch Cucamonga,CA,91739,34.129642,-117.535034,3,3,101,619000,11421,148191,9535,154502,1886,103172,41427,2334,6957,5735,6414,2859,1987,2799,839,35.1
